Celltype	Platform
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Acinar	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Alpha	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Delta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
Beta	Smart-seq2
