Celltype	Platform	Disease
Alpha	Smart-seq	Normal
Delta	Smart-seq	Normal
Delta	Smart-seq	Normal
Delta	Smart-seq	Normal
Delta	Smart-seq	Normal
Delta	Smart-seq	T2D
Delta	Smart-seq	T2D
Delta	Smart-seq	T2D
Delta	Smart-seq	T2D
Delta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	T2D
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	T2D
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
Beta	Smart-seq	Normal
