Celltype	Platform
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
Duct	CEL-seq2
